Wiped at: 2017-12-26 21:37:45,,,,,,,,,,,,,,,,,,,,,
apda_rounds,para_rounds,apda_avg_dist,para_avg_dist,dpda_avg_dist,dara_avg_dist,apda_break_avg_dist,para_break_avg_dist,dpda_break_avg_dist,dara_break_avg_dist,apda_num_missed,para_num_missed,dpda_num_missed,dara_num_missed,apda_infil_dist,para_infil_dist,dpda_infil_dist,dara_infil_dist,apda_score_missed,para_score_missed,dpda_score_missed,dara_score_missed
test - 07aa6d4e-4b36-4061-b3f5-3c5e9a773bfb,12/26/2017 21:38,,,,,,,,,,,,,,,,,,,,
5,6,839.6504761,817.0918813,889.5650437,863.1085731,235.2701916,255.0590799,253.7760628,283.6651735,15.03561,16.05188,15.93341,17.06771,571.82612,671.46769,641.99015,779.614,211.98887,231.63286,231.56861,252.1477
test - 75fc5a38-2957-4ac1-99e3-9a5b391642b8,12/26/2017 22:56,,,,,,,,,,,,,,,,,,,,
6,7,790.2115285,772.8248325,846.0880769,824.8391057,250.1560947,217.218799,281.2035076,237.6894959,15.03035,13.57335,15.98037,14.28863,618.91541,478.32082,728.63333,538.53028,207.27965,180.58822,225.91217,195.85715
test - 6afa7617-1714-40f8-bc6a-0231dfdc0695,12/27/2017 1:06,,,,,,,,,,,,,,,,,,,,
4,5,900.1075082,870.0434287,941.6664531,907.8989408,270.8115345,245.0617666,288.656844,259.7674406,15.56906,15.09814,16.08563,15.74489,661.45031,583.04065,719.84062,636.71254,220.20124,213.46342,231.09935,227.35171
test - 3d272747-5856-499f-87fc-a95436d86c96,12/27/2017 2:12,,,,,,,,,,,,,,,,,,,,
7,8,748.2987361,735.1409175,807.6024966,790.8936825,199.3093989,192.3377668,220.7780356,213.678554,13.10528,13.34664,14.00966,14.55587,423.45945,419.7849,490.95207,497.05846,173.56103,180.4378,192.95651,206.47473
test - 5bbdea01-6a7a-4536-bbe2-328297540a5f,12/27/2017 7:14,,,,,,,,,,,,,,,,,,,,
8,9,707.874939,698.0382314,769.7724623,756.2862801,192.3290933,204.0428541,214.9291106,230.4624627,13.72238,13.55658,15.02999,14.37765,443.63793,467.77769,527.43861,543.16149,187.78499,180.71518,216.21029,197.11802
test - 958818e9-8906-40d7-9c1f-f26bbec3619e,12/27/2017 20:24,,,,,,,,,,,,,,,,,,,,
test - 65a00cfe-bb6d-4283-9dff-b03c6aa2f267,1/19/2018 22:24,,,,,,,,,,,,,,,,,,,,
9,10,682.2613008,673.2790581,746.007997,733.8616389,185.2525953,170.5667976,212.4992252,191.0270425,12.20294,11.82782,13.09479,12.876,370.40946,327.62892,442.99147,388.66319,154.95306,150.19575,172.93467,173.18408
test - 1c8e9862-34a3-447e-b9c5-b0eb19aece8b,1/21/2018 15:04,,,,,,,,,,,,,,,,,,,,
10,4,657.5669035,936.8087865,721.8959892,963.3733139,165.3604672,302.457834,186.3755524,314.9081819,12.02582,16.46964,13.20665,16.77888,326.9756,776.72711,392.80505,817.6099,155.05031,237.1908,181.07931,243.38807
test - f599328a-167d-48b3-a056-5744f7e84694,2018-02-14 23:22:18
test - 2ec66328-5479-4c6d-b94f-45405d03ab0d,2018-02-15 02:06:33
6,6,793.222579999,821.192342957,848.587382656,866.908292811,251.671026879,257.458663207,282.697287524,285.959622532,15.1796,16.18483,16.12667,17.19199,628.63647,682.36741,737.22652,790.65816,210.78566,234.54872,229.28663,254.7976
test - 366f2087-49b1-49f0-a4c0-d872f68c179e,2018-02-15 04:19:25
6,6,788.984585517,816.630262595,844.331376052,863.333809261,249.11462954,254.325289257,279.809023778,283.600806745,15.01626,16.0193,15.96511,17.05809,620.36031,671.43022,727.8382,782.97308,207.68652,231.44649,226.18142,252.5481
